country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Slovenia,SVN,2017,38443000000.0,911528.0,75.19,True,True,True
Solomon Islands,SLB,2017,500000000.0,180838.4,34.4275,True,True,True
"Somalia, Fed. Rep.",SOM,2017,464000000.0,126312.9,31.8725,True,True,True
South Africa,ZAF,2017,88947000000.0,4563618.0,124.2325,True,True,True
South Sudan,SSD,2017,,,,False,False,False
Spain,ESP,2017,319531000000.0,15929902.0,380.1175,True,True,True
Sri Lanka,LKA,2017,11360000000.0,6200000.0,214.015,True,True,True
St. Kitts and Nevis,KNA,2017,50000000.0,13767.0,24.6425,True,True,True
St. Lucia,LCA,2017,127000000.0,29706.0,26.125,True,True,True
St. Martin (French part),MAF,2017,123000000.0,,,True,False,False
St. Vincent and the Grenadines,VCT,2017,42000000.0,17502.0,29.335,True,True,True
Sudan,SDN,2017,4100000000.0,487336.0,41.145,True,True,True
Suriname,SUR,2017,1992000000.0,112318.0,38.7775,True,True,True
Sweden,SWE,2017,152920000000.0,1557281.0,144.39749999999998,True,True,True
Switzerland,CHE,2017,299603000000.0,119231.0,,True,True,False
Syrian Arab Republic,SYR,2017,2555000000.0,291958.0,31.1275,True,True,True
Tajikistan,TJK,2017,1198000000.0,,,True,False,False
Tanzania,TZA,2017,4113000000.0,617266.0,49.9225,True,True,True
Thailand,THA,2017,236635000000.0,9938881.0,210.15,True,True,True
Timor-Leste,TLS,2017,23000000.0,59004.0,11.3725,True,True,True
Togo,TGO,2017,1016000000.0,1193841.0,77.9975,True,True,True
Tonga,TON,2017,19000000.0,107381.3,28.355,True,True,True
Trinidad and Tobago,TTO,2017,8741000000.0,414657.0,60.6975,True,True,True
Tunisia,TUN,2017,14204000000.0,480619.0,42.9925,True,True,True
Turkiye,TUR,2017,164495000000.0,10001342.0,231.0325,True,True,True
Turkmenistan,TKM,2017,7458000000.0,,,True,False,False
Turks and Caicos Islands,TCA,2017,4000000.0,,,True,False,False
Tuvalu,TUV,2017,0.0,6499.85,5.505,True,True,True
Uganda,UGA,2017,2901000000.0,,,True,False,False
Ukraine,UKR,2017,43265000000.0,723575.0,68.9875,True,True,True
United Arab Emirates,ARE,2017,313603000000.0,19089706.0,287.84499999999997,True,True,True
United Kingdom,GBR,2017,440997000000.0,10239674.0,400.8825,True,True,True
United States,USA,2017,1546273000000.0,51522489.0,469.9975,True,True,True
Uruguay,URY,2017,7888000000.0,939427.0,85.9175,True,True,True
Uzbekistan,UZB,2017,10079000000.0,,,True,False,False
Vanuatu,VUT,2017,47000000.0,114552.6,23.91,True,True,True
Viet Nam,VNM,2017,215014000000.0,12382524.0,285.5575,True,True,True
Virgin Islands (U.S.),VIR,2017,,,,False,False,False
West Bank and Gaza,PSE,2017,,,,False,False,False
"Yemen, Rep.",YEM,2017,418000000.0,334693.0,20.3,True,True,True
Zambia,ZMB,2017,8000000000.0,,,True,False,False
Zimbabwe,ZWE,2017,3481000000.0,,,True,False,False
Afghanistan,AFG,2018,875000000.0,,,True,False,False
Albania,ALB,2018,2870000000.0,134526.0,13.0775,True,True,True
Algeria,DZA,2018,41797000000.0,1844422.0,71.465,True,True,True
American Samoa,ASM,2018,377000000.0,90245.0,25.81,True,True,True
Andorra,AND,2018,129000000.0,,,True,False,False
Angola,AGO,2018,40758000000.0,572922.0,67.3675,True,True,True
Antigua and Barbuda,ATG,2018,26000000.0,28826.0,16.405,True,True,True
Argentina,ARG,2018,61781000000.0,2184625.0,105.9025,True,True,True
Armenia,ARM,2018,2412000000.0,,,True,False,False
Aruba,ABW,2018,194000000.0,58500.0,32.2825,True,True,True
Australia,AUS,2018,257098000000.0,8667914.0,144.95,True,True,True
Austria,AUT,2018,184815000000.0,,,True,False,False
Azerbaijan,AZE,2018,20317000000.0,,,True,False,False
"Bahamas, The",BHS,2018,513000000.0,1182836.0,71.515,True,True,True
Bahrain,BHR,2018,18044000000.0,432207.0,50.4225,True,True,True
Bangladesh,BGD,2018,39252000000.0,2946955.0,64.96000000000001,True,True,True
Barbados,BRB,2018,448000000.0,100952.0,35.59,True,True,True
Belarus,BLR,2018,33726000000.0,,,True,False,False
Belgium,BEL,2018,468213000000.0,11503695.0,376.19,True,True,True
Belize,BLZ,2018,451000000.0,47729.0,28.3825,True,True,True
Benin,BEN,2018,3344000000.0,321750.0,62.9575,True,True,True
Bermuda,BMU,2018,18000000.0,4437.324,7.77,True,True,True
Bhutan,BTN,2018,606000000.0,,,True,False,False
Bolivia,BOL,2018,8965000000.0,,,True,False,False
